gene_stable_id	protein_stable_id	species	identity	homology_type	homology_gene_stable_id	homology_protein_stable_id	homology_species	homology_identity	dn	ds	goc_score	wga_coverage
AT3G18140	AT3G18140.1	arabidopsis_thaliana	99.3443	ortholog_one2one	fgenesh2_kg.3__2005__AT3G18140.1	fgenesh2_kg.3__2005__AT3G18140.1	arabidopsis_lyrata	99.3443	NULL	NULL	100	100.00
AT3G18140	AT3G18140.1	arabidopsis_thaliana	99.0164	ortholog_one2one	g21555	g21555.t1	arabidopsis_halleri	99.0164	NULL	NULL	100	100.00
AT3G18140	AT3G18140.1	arabidopsis_thaliana	97.3771	ortholog_one2one	Bo00828s070	Bo00828s070.1	brassica_oleracea	97.3771	NULL	NULL	25	100.00
AT3G18140	AT3G18140.1	arabidopsis_thaliana	97.3771	ortholog_one2many	GSBRNA2T00153909001	CDX92201	brassica_napus	97.3771	NULL	NULL	75	100.00
AT3G18140	AT3G18140.1	arabidopsis_thaliana	77.7049	ortholog_one2one	Bra022283	Bra022283.1-P	brassica_rapa	97.1311	NULL	NULL	50	100.00
AT3G18140	AT3G18140.1	arabidopsis_thaliana	97.0492	ortholog_one2many	GSBRNA2T00101713001	CDX95783	brassica_napus	97.0492	NULL	NULL	25	100.00
AT3G18140	AT3G18140.1	arabidopsis_thaliana	76.0656	within_species_paralog	AT2G22040	AT2G22040.1	arabidopsis_thaliana	74.1214	NULL	NULL	NULL	NULL
AT3G18140	AT3G18140.1	arabidopsis_thaliana	82.6229	ortholog_one2many	VIT_06s0004g04740	VIT_06s0004g04740.t01	vitis_vinifera	79.7468	NULL	NULL	NULL	97.69
AT3G18140	AT3G18140.1	arabidopsis_thaliana	86.8852	ortholog_one2many	MANES_05G190600	OAY51131	manihot_esculenta	83.8608	NULL	NULL	NULL	98.73
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.8689	ortholog_one2many	Csa_3G811590	KGN59336	cucumis_sativus	84.8101	NULL	NULL	NULL	98.91
AT3G18140	AT3G18140.1	arabidopsis_thaliana	87.541	ortholog_many2many	TanjilG_21641	OIV95251	lupinus_angustifolius	81.9018	NULL	NULL	NULL	97.81
AT3G18140	AT3G18140.1	arabidopsis_thaliana	86.2295	ortholog_many2many	TanjilG_06593	OIW20192	lupinus_angustifolius	82.7044	NULL	NULL	NULL	98.77
AT3G18140	AT3G18140.1	arabidopsis_thaliana	88.1967	ortholog_many2many	GLYMA_13G227200	KRH21226	glycine_max	85.1266	NULL	NULL	NULL	98.79
AT3G18140	AT3G18140.1	arabidopsis_thaliana	75.7377	ortholog_one2many	Tp57577_TGAC_v2_gene4590	Tp57577_TGAC_v2_mRNA4738	trifolium_pratense	83.6957	NULL	NULL	NULL	92.20
